name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-10-1,1,0.67,15,1,59,201,0,0.024483,0,201,0.0028379,201,448,0,0,0.000267,2,0,0,0,0,0,0,0,0,58,4,0/8,0,0.0024519,201
poi-10-1,1,0.67,15,1,118,295,0,0.054005,1,295,0.047343,295,311,0.000455,11,0.000481,6,15,8,7,0,0,0,0,0,102,6,0/8,0,0.0411079,317
poi-10-1,1,0.67,15,2,59,201,0,0.00567,0,201,0.00295186,201,448,0,0,0.000164,2,0,0,0,0,0,0,0,0,54,4,0/8,0,0.00230312,201
poi-10-1,1,0.67,15,2,118,295,0,0.070541,1,295,0.063086,295,314,0.000557,14,0.000572,6,15,8,7,0,0,0,0,0,102,6,0/8,0,0.0462751,317
poi-10-1,1,0.67,15,3,59,201,0,0.005815,0,201,0.00286222,201,448,0,0,0.000128,1,0,0,0,0,0,0,0,0,54,4,0/8,0,0.00274014,201
poi-10-1,1,0.67,15,3,118,295,0,0.098828,1,295,0.089627,295,317,0.000898,18,0.000604,5,15,8,7,0,0,0,0,0,102,6,0/8,0,0.0551491,317
poi-10-1,1,0.67,30,1,59,201,0,0.007193,0,201,0.00436997,201,861,0,0,0.000194,2,0,0,0,0,0,0,0,0,54,4,0/62,0,0.00416088,201
poi-10-1,1,0.67,30,1,118,295,0,0.077536,1,295,0.0655811,295,317,0.000399,9,0.000472,5,12,8,4,0,0,0,0,0,106,6,0/62,0,0.162362,317
poi-10-1,1,0.67,30,2,59,201,0,0.009687,0,201,0.000454187,201,1E+100,0,0,0.000112,1,0,0,0,0,0,0,0,0,54,4,0/62,0,0.00626397,201
poi-10-1,1,0.67,30,2,118,295,0,0.251212,1,295,0.246333,295,319,0.000975,23,0.000621,6,15,8,7,0,0,0,0,0,102,6,0/62,0,0.33885,317
poi-10-1,1,0.67,30,3,59,201,0,0.012039,0,201,0.00789404,201,861,0,0,0.000333,2,0,0,0,0,0,0,0,0,58,4,0/62,0,0.00792289,201
poi-10-1,1,0.67,30,3,118,295,0,0.221317,1,295,0.195323,295,317,0.001061,19,0.000637,5,18,14,4,0,0,0,0,0,106,6,0/62,0,0.343452,317
poi-10-1,1,1.33,15,1,59,233,0,0.004503,0,233,0.00210214,233,583,0,0,0.000181,2,0,0,0,0,0,0,0,0,55,3,1/8,0,0.00159311,233
poi-10-1,1,1.33,15,1,118,327,0,0.043008,1,327,0.040308,327,350,0.000368,8,0.000605,6,12,8,4,0,0,0,0,0,103,5,1/8,0,0.0398779,349
